Date,Price
1997 Jan 6,
1997 Jan 7,3.82
1997 Jan 8,3.80
1997 Jan 9,3.61
1997 Jan 10,3.92
1997 Jan 13,4.00
1997 Jan 14,4.01
1997 Jan 15,4.34
1997 Jan 16,4.71
1997 Jan 17,3.91
1997 Jan 20,3.26
1997 Jan 21,2.99
1997 Jan 22,3.05
1997 Jan 23,2.96
1997 Jan 24,2.62
1997 Jan 27,2.98
1997 Jan 28,3.05
1997 Jan 29,2.91
1997 Jan 30,2.86
1997 Jan 31,2.77
1997 Feb 3,2.49
1997 Feb 4,2.59
1997 Feb 5,2.65
1997 Feb 6,2.51
1997 Feb 7,2.39
1997 Feb 10,2.42
1997 Feb 11,2.34
1997 Feb 12,2.42
1997 Feb 13,2.22
1997 Feb 14,2.12
1997 Feb 17,
1997 Feb 18,1.84
1997 Feb 19,1.95
1997 Feb 20,1.92
1997 Feb 21,1.92
1997 Feb 24,1.92
1997 Feb 25,1.77
1997 Feb 26,1.81
1997 Feb 27,1.80
1997 Feb 28,1.78
1997 Mar 3,1.80
1997 Mar 4,1.87
1997 Mar 5,1.92
1997 Mar 6,1.82
1997 Mar 7,1.89
1997 Mar 10,1.95
1997 Mar 11,1.92
1997 Mar 12,1.96
1997 Mar 13,1.98
1997 Mar 14,1.97
1997 Mar 17,2.01
1997 Mar 18,1.91
1997 Mar 19,1.88
1997 Mar 20,1.88
1997 Mar 21,1.87
1997 Mar 24,1.80
1997 Mar 25,1.85
1997 Mar 26,1.85
1997 Mar 27,1.84
1997 Mar 28,
1997 Mar 31,1.84
1997 Apr 1,1.95
1997 Apr 2,1.85
1997 Apr 3,1.87
1997 Apr 4,1.91
1997 Apr 7,1.99
1997 Apr 8,2.01
1997 Apr 9,1.96
1997 Apr 10,1.97
1997 Apr 11,1.98
1997 Apr 14,2.00
1997 Apr 15,2.00
1997 Apr 16,2.02
1997 Apr 17,2.08
1997 Apr 18,2.10
1997 Apr 21,2.09
1997 Apr 22,2.10
1997 Apr 23,2.22
1997 Apr 24,2.11
1997 Apr 25,2.16
1997 Apr 28,2.10
1997 Apr 29,2.09
1997 Apr 30,2.16
1997 May 1,2.19
1997 May 2,2.21
1997 May 5,2.23
1997 May 6,2.25
1997 May 7,2.34
1997 May 8,2.33
1997 May 9,2.30
1997 May 12,2.27
1997 May 13,2.18
1997 May 14,2.22
1997 May 15,2.25
1997 May 16,2.19
1997 May 19,2.25
1997 May 20,2.22
1997 May 21,2.21
1997 May 22,2.22
1997 May 23,2.20
1997 May 26,
1997 May 27,2.29
1997 May 28,2.34
1997 May 29,2.29
1997 May 30,2.23
1997 Jun 2,2.20
1997 Jun 3,2.11
1997 Jun 4,2.19
1997 Jun 5,2.18
1997 Jun 6,2.19
1997 Jun 9,2.19
1997 Jun 10,2.16
1997 Jun 11,2.16
1997 Jun 12,2.14
1997 Jun 13,2.15
1997 Jun 16,2.20
1997 Jun 17,2.20
1997 Jun 18,2.22
1997 Jun 19,2.23
1997 Jun 20,2.25
1997 Jun 23,2.29
1997 Jun 24,2.32
1997 Jun 25,2.32
1997 Jun 26,2.23
1997 Jun 27,2.17
1997 Jun 30,2.17
1997 Jul 1,2.16
1997 Jul 2,2.14
1997 Jul 3,2.11
1997 Jul 4,
1997 Jul 7,2.13
1997 Jul 8,2.13
1997 Jul 9,2.16
1997 Jul 10,2.15
1997 Jul 11,2.16
1997 Jul 14,2.18
1997 Jul 15,2.21
1997 Jul 16,2.24
1997 Jul 17,2.29
1997 Jul 18,2.26
1997 Jul 21,2.17
1997 Jul 22,2.18
1997 Jul 23,2.20
1997 Jul 24,2.24
1997 Jul 25,2.22
1997 Jul 28,2.19
1997 Jul 29,2.23
1997 Jul 30,2.19
1997 Jul 31,2.23
1997 Aug 1,2.24
1997 Aug 4,2.26
1997 Aug 5,2.33
1997 Aug 6,2.38
1997 Aug 7,2.50
1997 Aug 8,2.38
1997 Aug 11,2.53
1997 Aug 12,2.56
1997 Aug 13,2.45
1997 Aug 14,2.57
1997 Aug 15,2.53
1997 Aug 18,2.56
1997 Aug 19,2.61
1997 Aug 20,2.62
1997 Aug 21,2.45
1997 Aug 22,2.47
1997 Aug 25,2.53
1997 Aug 26,2.58
1997 Aug 27,2.51
1997 Aug 28,2.57
1997 Aug 29,2.69
1997 Sep 1,
1997 Sep 2,2.82
1997 Sep 3,2.86
1997 Sep 4,2.73
1997 Sep 5,2.67
1997 Sep 8,2.67
1997 Sep 9,2.74
1997 Sep 10,2.74
1997 Sep 11,2.78
1997 Sep 12,2.86
1997 Sep 15,2.88
1997 Sep 16,2.83
1997 Sep 17,2.75
1997 Sep 18,2.84
1997 Sep 19,2.94
1997 Sep 22,2.98
1997 Sep 23,3.09
1997 Sep 24,3.03
1997 Sep 25,3.05
1997 Sep 26,3.24
1997 Sep 29,3.09
1997 Sep 30,2.96
1997 Oct 1,3.08
1997 Oct 2,2.97
1997 Oct 3,2.91
1997 Oct 6,2.96
1997 Oct 7,2.81
1997 Oct 8,2.80
1997 Oct 9,2.80
1997 Oct 10,2.78
1997 Oct 13,2.87
1997 Oct 14,2.84
1997 Oct 15,2.84
1997 Oct 16,2.94
1997 Oct 17,2.97
1997 Oct 20,3.05
1997 Oct 21,3.13
1997 Oct 22,3.24
1997 Oct 23,3.34
1997 Oct 24,3.29
1997 Oct 27,3.46
1997 Oct 28,3.61
1997 Oct 29,3.45
1997 Oct 30,3.34
1997 Oct 31,3.22
1997 Nov 3,3.23
1997 Nov 4,3.15
1997 Nov 5,3.18
1997 Nov 6,3.20
1997 Nov 7,3.05
1997 Nov 10,3.20
1997 Nov 11,3.26
1997 Nov 12,3.28
1997 Nov 13,3.27
1997 Nov 14,3.25
1997 Nov 17,3.10
1997 Nov 18,3.00
1997 Nov 19,2.97
1997 Nov 20,2.77
1997 Nov 21,2.59
1997 Nov 24,2.63
1997 Nov 25,2.51
1997 Nov 26,2.50
1997 Nov 27,
1997 Nov 28,
1997 Dec 1,2.52
1997 Dec 2,2.61
1997 Dec 3,2.53
1997 Dec 4,2.48
1997 Dec 5,2.42
1997 Dec 8,2.30
1997 Dec 9,2.35
1997 Dec 10,2.45
1997 Dec 11,2.30
1997 Dec 12,2.30
1997 Dec 15,2.25
1997 Dec 16,2.29
1997 Dec 17,2.38
1997 Dec 18,2.37
1997 Dec 19,2.39
1997 Dec 22,2.36
1997 Dec 23,2.24
1997 Dec 24,2.06
1997 Dec 25,
1997 Dec 26,2.18
1997 Dec 29,2.33
1997 Dec 30,2.27
1997 Dec 31,2.27
1998 Jan 1,
1998 Jan 2,2.16
1998 Jan 5,2.05
1998 Jan 6,2.16
1998 Jan 7,2.13
1998 Jan 8,2.11
1998 Jan 9,2.09
1998 Jan 12,2.01
1998 Jan 13,2.03
1998 Jan 14,2.05
1998 Jan 15,2.07
1998 Jan 16,2.11
1998 Jan 19,
1998 Jan 20,2.12
1998 Jan 21,2.09
1998 Jan 22,2.10
1998 Jan 23,2.14
1998 Jan 26,2.09
1998 Jan 27,2.06
1998 Jan 28,2.09
1998 Jan 29,2.07
1998 Jan 30,2.09
1998 Feb 2,2.23
1998 Feb 3,2.27
1998 Feb 4,2.23
1998 Feb 5,2.31
1998 Feb 6,2.35
1998 Feb 9,2.25
1998 Feb 10,2.18
1998 Feb 11,2.21
1998 Feb 12,2.20
1998 Feb 13,2.22
1998 Feb 16,
1998 Feb 17,2.18
1998 Feb 18,2.19
1998 Feb 19,2.22
1998 Feb 20,2.20
1998 Feb 23,2.20
1998 Feb 24,2.19
1998 Feb 25,2.21
1998 Feb 26,2.28
1998 Feb 27,2.23
1998 Mar 2,2.26
1998 Mar 3,2.24
1998 Mar 4,2.19
1998 Mar 5,2.12
1998 Mar 6,2.10
1998 Mar 9,2.17
1998 Mar 10,2.25
1998 Mar 11,2.25
1998 Mar 12,2.23
1998 Mar 13,2.21
1998 Mar 16,2.20
1998 Mar 17,2.20
1998 Mar 18,2.21
1998 Mar 19,2.25
1998 Mar 20,2.28
1998 Mar 23,2.33
1998 Mar 24,2.29
1998 Mar 25,2.33
1998 Mar 26,2.29
1998 Mar 27,2.26
1998 Mar 30,2.32
1998 Mar 31,2.34
1998 Apr 1,2.45
1998 Apr 2,2.43
1998 Apr 3,2.51
1998 Apr 6,2.51
1998 Apr 7,2.51
1998 Apr 8,2.65
1998 Apr 9,2.61
1998 Apr 10,
1998 Apr 13,2.52
1998 Apr 14,2.42
1998 Apr 15,2.48
1998 Apr 16,2.48
1998 Apr 17,2.40
1998 Apr 20,2.40
1998 Apr 21,2.46
1998 Apr 22,2.46
1998 Apr 23,2.35
1998 Apr 24,2.31
1998 Apr 27,2.29
1998 Apr 28,2.27
1998 Apr 29,2.29
1998 Apr 30,2.18
1998 May 1,2.11
1998 May 4,2.10
1998 May 5,2.19
1998 May 6,2.12
1998 May 7,2.16
1998 May 8,2.11
1998 May 11,2.19
1998 May 12,2.23
1998 May 13,2.24
1998 May 14,2.18
1998 May 15,2.18
1998 May 18,2.19
1998 May 19,2.17
1998 May 20,2.18
1998 May 21,2.11
1998 May 22,2.02
1998 May 25,
1998 May 26,2.10
1998 May 27,2.10
1998 May 28,2.04
1998 May 29,2.10
1998 Jun 1,2.10
1998 Jun 2,2.20
1998 Jun 3,2.13
1998 Jun 4,2.04
1998 Jun 5,2.01
1998 Jun 8,2.00
1998 Jun 9,2.01
1998 Jun 10,1.98
1998 Jun 11,1.99
1998 Jun 12,2.01
1998 Jun 15,2.08
1998 Jun 16,2.10
1998 Jun 17,2.05
1998 Jun 18,2.14
1998 Jun 19,2.20
1998 Jun 22,2.35
1998 Jun 23,2.35
1998 Jun 24,2.40
1998 Jun 25,2.39
1998 Jun 26,2.40
1998 Jun 29,2.36
1998 Jun 30,2.39
1998 Jul 1,2.46
1998 Jul 2,2.36
1998 Jul 3,
1998 Jul 6,2.38
1998 Jul 7,2.35
1998 Jul 8,2.39
1998 Jul 9,2.38
1998 Jul 10,2.32
1998 Jul 13,2.30
1998 Jul 14,2.23
1998 Jul 15,2.21
1998 Jul 16,2.15
1998 Jul 17,2.15
1998 Jul 20,2.18
1998 Jul 21,2.09
1998 Jul 22,2.00
1998 Jul 23,2.00
1998 Jul 24,1.97
1998 Jul 27,2.00
1998 Jul 28,1.97
1998 Jul 29,1.99
1998 Jul 30,1.95
1998 Jul 31,1.85
1998 Aug 3,1.84
1998 Aug 4,1.90
1998 Aug 5,1.91
1998 Aug 6,1.85
1998 Aug 7,1.82
1998 Aug 10,1.87
1998 Aug 11,1.87
1998 Aug 12,1.85
1998 Aug 13,1.83
1998 Aug 14,1.83
1998 Aug 17,1.93
1998 Aug 18,1.94
1998 Aug 19,1.96
1998 Aug 20,1.90
1998 Aug 21,1.93
1998 Aug 24,1.90
1998 Aug 25,1.89
1998 Aug 26,1.83
1998 Aug 27,1.76
1998 Aug 28,1.66
1998 Aug 31,1.61
1998 Sep 1,1.84
1998 Sep 2,1.72
1998 Sep 3,1.71
1998 Sep 4,1.71
1998 Sep 7,
1998 Sep 8,1.81
1998 Sep 9,1.78
1998 Sep 10,1.88
1998 Sep 11,1.86
1998 Sep 14,1.86
1998 Sep 15,1.94
1998 Sep 16,2.15
1998 Sep 17,2.12
1998 Sep 18,2.27
1998 Sep 21,2.18
1998 Sep 22,2.29
1998 Sep 23,2.19
1998 Sep 24,2.17
1998 Sep 25,2.38
1998 Sep 28,2.23
1998 Sep 29,2.06
1998 Sep 30,2.22
1998 Oct 1,2.33
1998 Oct 2,2.14
1998 Oct 5,2.09
1998 Oct 6,2.01
1998 Oct 7,2.05
1998 Oct 8,2.02
1998 Oct 9,1.80
1998 Oct 12,1.75
1998 Oct 13,1.70
1998 Oct 14,1.80
1998 Oct 15,1.75
1998 Oct 16,1.64
1998 Oct 19,1.74
1998 Oct 20,1.95
1998 Oct 21,2.04
1998 Oct 22,1.95
1998 Oct 23,1.84
1998 Oct 26,1.92
1998 Oct 27,1.85
1998 Oct 28,1.70
1998 Oct 29,2.00
1998 Oct 30,2.00
1998 Nov 2,1.84
1998 Nov 3,2.10
1998 Nov 4,2.11
1998 Nov 5,2.26
1998 Nov 6,2.25
1998 Nov 9,2.28
1998 Nov 10,2.30
1998 Nov 11,2.33
1998 Nov 12,2.21
1998 Nov 13,2.21
1998 Nov 16,2.19
1998 Nov 17,2.12
1998 Nov 18,2.10
1998 Nov 19,2.10
1998 Nov 20,2.07
1998 Nov 23,2.02
1998 Nov 24,2.08
1998 Nov 25,2.13
1998 Nov 26,
1998 Nov 27,
1998 Nov 30,1.63
1998 Dec 1,1.41
1998 Dec 2,1.40
1998 Dec 3,1.21
1998 Dec 4,1.05
1998 Dec 7,1.44
1998 Dec 8,1.79
1998 Dec 9,1.64
1998 Dec 10,1.59
1998 Dec 11,1.55
1998 Dec 14,1.80
1998 Dec 15,1.86
1998 Dec 16,1.95
1998 Dec 17,2.02
1998 Dec 18,2.02
1998 Dec 21,2.05
1998 Dec 22,1.96
1998 Dec 23,1.88
1998 Dec 24,1.89
1998 Dec 25,
1998 Dec 28,1.79
1998 Dec 29,1.82
1998 Dec 30,1.81
1998 Dec 31,1.95
1999 Jan 1,
1999 Jan 4,2.10
1999 Jan 5,2.05
1999 Jan 6,2.04
1999 Jan 7,1.91
1999 Jan 8,1.90
1999 Jan 11,1.83
1999 Jan 12,1.82
1999 Jan 13,1.87
1999 Jan 14,1.77
1999 Jan 15,1.78
1999 Jan 18,
1999 Jan 19,1.77
1999 Jan 20,1.81
1999 Jan 21,1.85
1999 Jan 22,1.82
1999 Jan 25,1.76
1999 Jan 26,1.73
1999 Jan 27,1.75
1999 Jan 28,1.75
1999 Jan 29,1.83
1999 Feb 1,1.75
1999 Feb 2,1.78
1999 Feb 3,1.80
1999 Feb 4,1.79
1999 Feb 5,1.81
1999 Feb 8,1.81
1999 Feb 9,1.82
1999 Feb 10,1.80
1999 Feb 11,1.78
1999 Feb 12,1.82
1999 Feb 15,
1999 Feb 16,1.79
1999 Feb 17,1.79
1999 Feb 18,1.80
1999 Feb 19,1.79
1999 Feb 22,1.77
1999 Feb 23,1.75
1999 Feb 24,1.73
1999 Feb 25,1.64
1999 Feb 26,1.63
1999 Mar 1,1.65
1999 Mar 2,1.67
1999 Mar 3,1.68
1999 Mar 4,1.72
1999 Mar 5,1.74
1999 Mar 8,1.87
1999 Mar 9,1.86
1999 Mar 10,1.94
1999 Mar 11,1.87
1999 Mar 12,1.81
1999 Mar 15,1.75
1999 Mar 16,1.75
1999 Mar 17,1.75
1999 Mar 18,1.75
1999 Mar 19,1.73
1999 Mar 22,1.74
1999 Mar 23,1.80
1999 Mar 24,1.79
1999 Mar 25,1.80
1999 Mar 26,1.83
1999 Mar 29,1.80
1999 Mar 30,1.89
1999 Mar 31,2.02
1999 Apr 1,1.95
1999 Apr 2,
1999 Apr 5,2.03
1999 Apr 6,1.98
1999 Apr 7,2.03
1999 Apr 8,2.07
1999 Apr 9,2.10
1999 Apr 12,2.06
1999 Apr 13,2.14
1999 Apr 14,2.11
1999 Apr 15,2.14
1999 Apr 16,2.14
1999 Apr 19,2.10
1999 Apr 20,2.18
1999 Apr 21,2.17
1999 Apr 22,2.24
1999 Apr 23,2.23
1999 Apr 26,2.23
1999 Apr 27,2.32
1999 Apr 28,2.31
1999 Apr 29,2.37
1999 Apr 30,2.25
1999 May 3,2.23
1999 May 4,2.32
1999 May 5,2.36
1999 May 6,2.32
1999 May 7,2.25
1999 May 10,2.25
1999 May 11,2.29
1999 May 12,2.19
1999 May 13,2.21
1999 May 14,2.28
1999 May 17,2.31
1999 May 18,2.30
1999 May 19,2.27
1999 May 20,2.26
1999 May 21,2.21
1999 May 24,2.19
1999 May 25,2.18
1999 May 26,2.22
1999 May 27,2.27
1999 May 28,2.29
1999 May 31,
1999 Jun 1,2.34
1999 Jun 2,2.36
1999 Jun 3,2.35
1999 Jun 4,2.31
1999 Jun 7,2.41
1999 Jun 8,2.38
1999 Jun 9,2.39
1999 Jun 10,2.37
1999 Jun 11,2.30
1999 Jun 14,2.29
1999 Jun 15,2.28
1999 Jun 16,2.28
1999 Jun 17,2.24
1999 Jun 18,2.24
1999 Jun 21,2.22
1999 Jun 22,2.23
1999 Jun 23,2.25
1999 Jun 24,2.26
1999 Jun 25,2.27
1999 Jun 28,2.25
1999 Jun 29,2.33
1999 Jun 30,2.34
1999 Jul 1,2.29
1999 Jul 2,2.26
1999 Jul 5,
1999 Jul 6,2.29
1999 Jul 7,2.20
1999 Jul 8,2.19
1999 Jul 9,2.17
1999 Jul 12,2.12
1999 Jul 13,2.14
1999 Jul 14,2.16
1999 Jul 15,2.12
1999 Jul 16,2.18
1999 Jul 19,2.20
1999 Jul 20,2.24
1999 Jul 21,2.25
1999 Jul 22,2.32
1999 Jul 23,2.42
1999 Jul 26,2.55
1999 Jul 27,2.55
1999 Jul 28,2.58
1999 Jul 29,2.67
1999 Jul 30,2.55
1999 Aug 2,2.51
1999 Aug 3,2.61
1999 Aug 4,2.64
1999 Aug 5,2.69
1999 Aug 6,2.69
1999 Aug 9,2.73
1999 Aug 10,2.77
1999 Aug 11,2.79
1999 Aug 12,2.73
1999 Aug 13,2.71
1999 Aug 16,2.73
1999 Aug 17,2.70
1999 Aug 18,2.75
1999 Aug 19,2.87
1999 Aug 20,2.97
1999 Aug 23,2.95
1999 Aug 24,3.01
1999 Aug 25,3.10
1999 Aug 26,2.97
1999 Aug 27,2.87
1999 Aug 30,2.85
1999 Aug 31,2.84
1999 Sep 1,2.71
1999 Sep 2,2.56
1999 Sep 3,2.47
1999 Sep 6,
1999 Sep 7,2.56
1999 Sep 8,2.66
1999 Sep 9,2.75
1999 Sep 10,2.84
1999 Sep 13,2.80
1999 Sep 14,2.66
1999 Sep 15,2.52
1999 Sep 16,2.47
1999 Sep 17,2.45
1999 Sep 20,2.49
1999 Sep 21,2.33
1999 Sep 22,2.30
1999 Sep 23,2.45
1999 Sep 24,2.54
1999 Sep 27,2.51
1999 Sep 28,2.52
1999 Sep 29,2.57
1999 Sep 30,2.31
1999 Oct 1,2.39
1999 Oct 4,2.49
1999 Oct 5,2.45
1999 Oct 6,2.48
1999 Oct 7,2.49
1999 Oct 8,2.35
1999 Oct 11,2.53
1999 Oct 12,2.65
