Month,Price
1997 Jan 1,3.45
1997 Feb 1,2.15
1997 Mar 1,1.89
1997 Apr 1,2.03
1997 May 1,2.25
1997 Jun 1,2.20
1997 Jul 1,2.19
1997 Aug 1,2.49
1997 Sep 1,2.88
1997 Oct 1,3.07
1997 Nov 1,3.01
1997 Dec 1,2.35
1998 Jan 1,2.09
1998 Feb 1,2.23
1998 Mar 1,2.24
1998 Apr 1,2.43
1998 May 1,2.14
1998 Jun 1,2.17
1998 Jul 1,2.17
1998 Aug 1,1.85
1998 Sep 1,2.02
1998 Oct 1,1.91
1998 Nov 1,2.12
1998 Dec 1,1.72
1999 Jan 1,1.85
1999 Feb 1,1.77
1999 Mar 1,1.79
1999 Apr 1,2.15
1999 May 1,2.26
1999 Jun 1,2.30
1999 Jul 1,2.31
1999 Aug 1,2.80
1999 Sep 1,2.55
1999 Oct 1,2.73
1999 Nov 1,2.37
1999 Dec 1,2.36
2000 Jan 1,2.42
2000 Feb 1,2.66
2000 Mar 1,2.79
2000 Apr 1,3.04
2000 May 1,3.59
2000 Jun 1,4.29
2000 Jul 1,3.99
2000 Aug 1,4.43
2000 Sep 1,5.06
2000 Oct 1,5.02
2000 Nov 1,5.52
2000 Dec 1,8.90
2001 Jan 1,8.17
2001 Feb 1,5.61
2001 Mar 1,5.23
2001 Apr 1,5.19
2001 May 1,4.19
2001 Jun 1,3.72
2001 Jul 1,3.11
2001 Aug 1,2.97
2001 Sep 1,2.19
2001 Oct 1,2.46
2001 Nov 1,2.34
2001 Dec 1,2.30
2002 Jan 1,2.32
2002 Feb 1,2.32
2002 Mar 1,3.03
2002 Apr 1,3.43
2002 May 1,3.50
2002 Jun 1,3.26
2002 Jul 1,2.99
2002 Aug 1,3.09
2002 Sep 1,3.55
2002 Oct 1,4.13
2002 Nov 1,4.04
2002 Dec 1,4.74
2003 Jan 1,5.43
2003 Feb 1,7.71
2003 Mar 1,5.93
2003 Apr 1,5.26
2003 May 1,5.81
2003 Jun 1,5.82
2003 Jul 1,5.03
2003 Aug 1,4.99
2003 Sep 1,4.62
2003 Oct 1,4.63
2003 Nov 1,4.47
2003 Dec 1,6.13
2004 Jan 1,6.14
2004 Feb 1,5.37
2004 Mar 1,5.39
2004 Apr 1,5.71
2004 May 1,6.33
2004 Jun 1,6.27
2004 Jul 1,5.93
2004 Aug 1,5.41
2004 Sep 1,5.15
2004 Oct 1,6.35
2004 Nov 1,6.17
2004 Dec 1,6.58
2005 Jan 1,6.15
2005 Feb 1,6.14
2005 Mar 1,6.96
2005 Apr 1,7.16
2005 May 1,6.47
2005 Jun 1,7.18
2005 Jul 1,7.63
