Week Ending,Price
1997 Jan 10,3.79
1997 Jan 17,4.19
1997 Jan 24,2.98
1997 Jan 31,2.91
1997 Feb 07,2.53
1997 Feb 14,2.30
1997 Feb 21,1.91
1997 Feb 28,1.82
1997 Mar 07,1.86
1997 Mar 14,1.96
1997 Mar 21,1.91
1997 Mar 28,1.84
1997 Apr 04,1.88
1997 Apr 11,1.98
1997 Apr 18,2.04
1997 Apr 25,2.14
1997 May 02,2.15
1997 May 09,2.29
1997 May 16,2.22
1997 May 23,2.22
1997 May 30,2.28
1997 Jun 06,2.17
1997 Jun 13,2.16
1997 Jun 20,2.22
1997 Jun 27,2.27
1997 Jul 04,2.15
1997 Jul 11,2.15
1997 Jul 18,2.24
1997 Jul 25,2.20
1997 Aug 01,2.22
1997 Aug 08,2.37
1997 Aug 15,2.53
1997 Aug 22,2.54
1997 Aug 29,2.58
1997 Sep 05,2.77
1997 Sep 12,2.76
1997 Sep 19,2.85
1997 Sep 26,3.08
1997 Oct 03,3.00
1997 Oct 10,2.83
1997 Oct 17,2.89
1997 Oct 24,3.21
1997 Oct 31,3.42
1997 Nov 07,3.16
1997 Nov 14,3.25
1997 Nov 21,2.89
1997 Nov 28,2.55
1997 Dec 05,2.51
1997 Dec 12,2.34
1997 Dec 19,2.34
1997 Dec 26,2.21
1998 Jan 02,2.26
1998 Jan 09,2.11
1998 Jan 16,2.05
1998 Jan 23,2.11
1998 Jan 30,2.08
1998 Feb 06,2.28
1998 Feb 13,2.21
1998 Feb 20,2.20
1998 Feb 27,2.22
1998 Mar 06,2.18
1998 Mar 13,2.22
1998 Mar 20,2.23
1998 Mar 27,2.30
1998 Apr 03,2.41
1998 Apr 10,2.57
1998 Apr 17,2.46
1998 Apr 24,2.40
1998 May 01,2.23
1998 May 08,2.14
1998 May 15,2.20
1998 May 22,2.13
1998 May 29,2.09
1998 Jun 05,2.10
1998 Jun 12,2.00
1998 Jun 19,2.11
1998 Jun 26,2.38
1998 Jul 03,2.39
1998 Jul 10,2.36
1998 Jul 17,2.21
1998 Jul 24,2.05
1998 Jul 31,1.95
1998 Aug 07,1.86
1998 Aug 14,1.85
1998 Aug 21,1.93
1998 Aug 28,1.81
1998 Sep 04,1.72
1998 Sep 11,1.83
1998 Sep 18,2.07
1998 Sep 25,2.24
1998 Oct 02,2.20
1998 Oct 09,1.99
1998 Oct 16,1.73
1998 Oct 23,1.90
1998 Oct 30,1.89
1998 Nov 06,2.11
1998 Nov 13,2.27
1998 Nov 20,2.12
1998 Nov 27,2.08
1998 Dec 04,1.34
1998 Dec 11,1.60
1998 Dec 18,1.93
1998 Dec 25,1.95
1999 Jan 01,1.84
1999 Jan 08,2.00
1999 Jan 15,1.81
1999 Jan 22,1.81
1999 Jan 29,1.76
1999 Feb 05,1.79
1999 Feb 12,1.81
1999 Feb 19,1.79
1999 Feb 26,1.70
1999 Mar 05,1.69
1999 Mar 12,1.87
1999 Mar 19,1.75
1999 Mar 26,1.79
1999 Apr 02,1.92
1999 Apr 09,2.04
1999 Apr 16,2.12
1999 Apr 23,2.18
1999 Apr 30,2.30
1999 May 07,2.30
1999 May 14,2.24
1999 May 21,2.27
1999 May 28,2.23
1999 Jun 04,2.34
1999 Jun 11,2.37
1999 Jun 18,2.27
1999 Jun 25,2.25
1999 Jul 02,2.29
1999 Jul 09,2.21
1999 Jul 16,2.14
1999 Jul 23,2.29
1999 Jul 30,2.58
1999 Aug 06,2.63
1999 Aug 13,2.75
1999 Aug 20,2.80
1999 Aug 27,2.98
1999 Sep 03,2.69
1999 Sep 10,2.70
1999 Sep 17,2.58
1999 Sep 24,2.42
1999 Oct 01,2.46
1999 Oct 08,2.45
1999 Oct 15,2.67
1999 Oct 22,2.92
1999 Oct 29,2.94
1999 Nov 05,2.75
1999 Nov 12,2.39
1999 Nov 19,2.24
1999 Nov 26,2.00
1999 Dec 03,2.20
1999 Dec 10,2.21
1999 Dec 17,2.49
1999 Dec 24,2.53
1999 Dec 31,2.33
2000 Jan 07,2.18
2000 Jan 14,2.25
2000 Jan 21,2.46
2000 Jan 28,2.71
2000 Feb 04,2.81
2000 Feb 11,2.67
2000 Feb 18,2.64
2000 Feb 25,2.52
2000 Mar 03,2.70
2000 Mar 10,2.74
2000 Mar 17,2.81
2000 Mar 24,2.77
2000 Mar 31,2.88
2000 Apr 07,2.92
2000 Apr 14,3.03
2000 Apr 21,3.11
2000 Apr 28,3.11
2000 May 05,3.15
2000 May 12,3.26
2000 May 19,3.56
2000 May 26,4.04
2000 Jun 02,4.36
2000 Jun 09,4.19
2000 Jun 16,4.30
2000 Jun 23,4.28
2000 Jun 30,4.39
2000 Jul 07,4.15
2000 Jul 14,4.18
2000 Jul 21,3.98
2000 Jul 28,3.72
2000 Aug 04,4.01
2000 Aug 11,4.44
2000 Aug 18,4.33
2000 Aug 25,4.63
2000 Sep 01,4.66
2000 Sep 08,4.82
2000 Sep 15,5.05
2000 Sep 22,5.17
2000 Sep 29,5.21
2000 Oct 06,5.20
2000 Oct 13,5.26
2000 Oct 20,5.17
2000 Oct 27,4.68
2000 Nov 03,4.49
2000 Nov 10,4.96
2000 Nov 17,5.78
2000 Nov 24,6.29
2000 Dec 01,6.18
2000 Dec 08,8.16
2000 Dec 15,8.37
2000 Dec 22,9.86
2000 Dec 29,9.88
2001 Jan 05,9.79
2001 Jan 12,9.57
2001 Jan 19,7.68
2001 Jan 26,7.07
2001 Feb 02,6.23
2001 Feb 09,5.98
2001 Feb 16,5.63
2001 Feb 23,5.13
2001 Mar 02,5.14
2001 Mar 09,5.24
2001 Mar 16,5.12
2001 Mar 23,5.20
2001 Mar 30,5.39
2001 Apr 06,5.27
2001 Apr 13,5.44
2001 Apr 20,5.21
2001 Apr 27,4.99
2001 May 04,4.56
2001 May 11,4.22
2001 May 18,4.31
2001 May 25,4.05
